index,function,sonnet_name,gpt_name,verdict,evidence,note
214,func_unknown_0x10000d2e3,initDesktopRouter,sessionRouter,Sonnet clear win,"exports, keyboard, start, bind, stop, router, screenshot, windows, keydown, procedure","Exposes keyboard, screenshot, windows, control, and flash operations; 'sessionRouter' is too narrow."
215,func_unknown_0x10000d2ef,initImpersonationRouter,impersonationRouter,Both accurate / equivalent,"exports, router, getUserDirectory, procedure, query, security-impersonation",
216,func_unknown_0x10000d2f9,initFullImpersonationRouter,toastRouter,Sonnet clear win,"exports, object, title, message, icon, audio, loopAudio, longTime, string, boolean",The router is explicitly mounted as full-impersonation and contains setProxy plus toast; GPT names only one route.
217,func_unknown_0x10000d2fe,initRouters,initRoutes,Both accurate / equivalent,,
218,func_wAe_0x1000003ef,createScopedClosure,Wrap,Sonnet clear win,,
219,func_x7e_0x100000ab3,repairAndMigrate,repair,Sonnet clear win,,
220,func_y4_0x100000542,enumValue,Enum,Both defensible; Sonnet more precise,enum,
221,func_yg_0x1000005a2,initClientName,clientInit,Both accurate / equivalent,,
222,func_zL_0x10000000e,createScopedHandler,Assign,Sonnet clear win,,
223,func_zO_0x10000013b,createAxiosInstance,clientCreate,Sonnet clear win,"prototype, request, extend, allOwnKeys, create","Creates an Axios-style instance from defaults, prototype methods, and request binding."
